key,,admin_name1,latitude,longitude,accuracy
IN,140112,Punjab,31.1333,76.5417,
IN,140113,Punjab,31.0167,76.5833,4
IN,140117,Punjab,31.1333,76.5417,
IN,140118,Punjab,31.25,76.5,4
IN,140119,Punjab,31.1333,76.5417,
IN,140123,Punjab,31.4,76.1167,4
IN,140124,Punjab,31.3833,76.25,
IN,140125,Punjab,31.3667,76.3833,4
IN,140126,Punjab,31.3833,76.25,
IN,140202,Punjab,30.7871,76.5526,
IN,140301,Punjab,30.7444,76.6478,4
IN,140306,Punjab,30.7222,76.6572,
IN,140307,Punjab,30.7,76.6667,4
IN,140401,Punjab,30.4831,76.595,4
IN,140405,Punjab,30.4831,76.595,
IN,140406,Punjab,30.4831,76.595,
IN,140412,Punjab,30.5872,76.8428,4
IN,140413,Punjab,30.5872,76.8428,
IN,140501,Punjab,30.7871,76.5526,
IN,140502,Punjab,30.7871,76.5526,
IN,140506,Punjab,30.7871,76.5526,
IN,140601,Punjab,30.5556,76.7183,4
IN,140602,Punjab,30.5958,76.6328,4
IN,140701,Punjab,30.4172,76.5064,4
IN,140702,Punjab,30.3322,76.6072,4
IN,140801,Punjab,30.7833,76.3833,
IN,140802,Punjab,30.7833,76.3833,4
IN,141001,Punjab,30.8676,75.8444,4
IN,141002,Punjab,30.9,75.85,
IN,141003,Punjab,30.9,75.85,4
IN,141004,Punjab,30.9,75.85,
IN,141005,Punjab,30.9,75.85,4
IN,141007,Punjab,30.9,75.85,4
IN,141008,Punjab,30.9,75.85,
IN,141102,Punjab,30.6833,75.625,
IN,141104,Punjab,30.6833,75.625,
IN,141105,Punjab,30.6833,75.625,
IN,141106,Punjab,30.6833,75.625,
IN,141107,Punjab,30.7167,75.65,4
IN,141108,Punjab,30.6833,75.625,
IN,141109,Punjab,30.65,75.6,4
IN,141111,Punjab,30.7949,76.1071,
IN,141113,Punjab,30.7949,76.1071,
IN,141114,Punjab,30.8367,76.1897,4
IN,141115,Punjab,30.9147,76.1983,4
IN,141116,Punjab,30.7949,76.1071,
IN,141118,Punjab,30.7949,76.1071,
IN,141119,Punjab,30.6333,75.9333,4
IN,141120,Punjab,30.7503,75.9143,
IN,141121,Punjab,30.7503,75.9143,
IN,141122,Punjab,30.7503,75.9143,
IN,141124,Punjab,30.7503,75.9143,
IN,141201,Punjab,30.75,75.75,
IN,141203,Punjab,30.75,75.75,4
IN,141204,Punjab,30.75,75.75,
IN,141205,Punjab,30.75,75.75,
IN,141206,Punjab,30.75,75.75,
IN,141302,Punjab,31.0917,75.6081,
IN,141303,Punjab,31.1667,75.6167,4
IN,141305,Punjab,19.9833,80.7333,
IN,141307,Punjab,31.0917,75.6081,
IN,141308,Punjab,31.0119,75.6111,4
IN,141309,Punjab,31.0964,75.5967,4
IN,141310,Punjab,31.1258,75.4733,
IN,141311,Punjab,31.0879,75.4783,
IN,141315,Punjab,31.05,75.4833,4
IN,141317,Punjab,31.0879,75.4783,
IN,141401,Punjab,30.8167,76.0333,
IN,141402,Punjab,30.8167,76.0333,
IN,141412,Punjab,30.8167,76.05,
IN,141413,Punjab,30.8167,76.05,
IN,141414,Punjab,30.8167,76.05,
IN,141415,Punjab,30.8167,76.05,
IN,141416,Punjab,30.8167,76.05,
IN,141417,Punjab,30.8167,76.05,
IN,141418,Punjab,30.8167,76.05,4
IN,141419,Punjab,30.8167,76.05,
IN,141421,Punjab,30.8167,76.0167,4
IN,142001,Punjab,30.7457,75.2044,
IN,142011,Punjab,31.1833,75.25,4
IN,142021,Punjab,30.7457,75.2044,
IN,142022,Punjab,30.7457,75.2044,
IN,142023,Punjab,30.7457,75.2044,
IN,142026,Punjab,30.7457,75.2044,
IN,142027,Punjab,30.7457,75.2044,
IN,142029,Punjab,30.7457,75.2044,
IN,142030,Punjab,30.675,75.4167,
IN,142031,Punjab,30.675,75.4167,
IN,142032,Punjab,30.6667,75.55,4
IN,142034,Punjab,30.675,75.4167,
IN,142035,Punjab,30.675,75.4167,
IN,142036,Punjab,30.675,75.4167,
IN,142037,Punjab,30.6833,75.2833,4
IN,142040,Punjab,31.1033,74.9978,
IN,142042,Punjab,31.1033,74.9978,
IN,142044,Punjab,31.1033,74.9978,4
IN,142046,Punjab,31.1033,74.9978,
IN,142047,Punjab,31.1033,74.9978,
IN,142048,Punjab,31.1033,74.9978,
IN,142050,Punjab,30.85,74.9333,4
IN,142051,Punjab,30.5278,75.1167,
IN,142052,Punjab,30.5278,75.1167,
IN,142053,Punjab,30.75,75.3333,4
IN,142055,Punjab,30.5278,75.1167,
IN,142056,Punjab,30.5278,75.1167,
IN,142057,Punjab,30.5278,75.1167,
IN,142059,Punjab,30.5278,75.1167,
IN,142061,Punjab,30.7457,75.2044,
IN,143001,Punjab,31.6331,74.8656,
IN,143002,Punjab,31.6331,74.8656,4
IN,143003,Punjab,31.6331,74.8656,
IN,143004,Punjab,31.6331,74.8656,
IN,143006,Punjab,31.6331,74.8656,4
IN,143036,Punjab,31.6331,74.8656,
