,pincode,latitude,longitude,location,subzone,top_cuisines,popularity,nearby_res
87,700094,22.48078374,88.39219055,Ajoy Nagar,Garia,"Chinese,North Indian,Fast Food,Bengali,Bakery",4.12,"19164059,18748379,21967,18577170,23221,18662306,18513817,25094,23380"
59,700061,22.478044399999998,88.2910436,Behala,Behala,"Chinese,North Indian,Fast Food,Bengali,Bakery",4.34,"18166904,21257,18198695,18681438,25475,21861,18551385,21485,18175457"
71,700075,22.47621429,88.39357788,Garia,Garia,"Chinese,North Indian,Fast Food,Bengali,Bakery",4.12,"19164059,18748379,21967,18577170,23221,18662306,18513817,25094,23380"
45,700047,22.47379697,88.36813739,Naktala,Naktala,"Chinese,North Indian,Fast Food,Bengali,Biryani",4.43,"19164059,18748379,18519912,18677555,18542756,18798824,23953,23512,20629"
129,700141,22.4734,88.251,Behala,Behala,"Chinese,North Indian,Fast Food,Bengali,Bakery",4.34,"18166904,21257,18198695,18681438,25475,21861,18551385,21485,18175457"
80,700086,22.4726577,88.37990858,Garia,Garia,"Chinese,North Indian,Fast Food,Bengali,Bakery",4.12,"19164059,18748379,21967,18577170,23221,18662306,18513817,25094,23380"
66,700070,22.4656,88.3524,Tollygunge,Tollygunge,"Chinese,North Indian,Fast Food,Bakery,Bengali",4.65,"18575757,18663727,23295,18265458,18361680,18198678,24716,18899520,24794"
60,700063,22.46459246,88.31079238,Behala,Thakur Pukur,"North Indian,Chinese,Biryani,Fast Food,Bengali",3.52,"23408,18420484,18240469,18309975,22424,18473784,18662812,18572855,25351"
138,700152,22.4633,88.4171,Garia,Garia,"Chinese,North Indian,Fast Food,Bengali,Bakery",4.12,"19164059,18748379,21967,18577170,23221,18662306,18513817,25094,23380"
89,700096,22.46165139,88.36422657,Naktala,Naktala,"Chinese,North Indian,Fast Food,Bengali,Biryani",4.43,"19164059,18748379,18519912,18677555,18542756,18798824,23953,23512,20629"
79,700084,22.46,88.3822,Garia,Garia,"Chinese,North Indian,Fast Food,Bengali,Bakery",4.12,"19164059,18748379,21967,18577170,23221,18662306,18513817,25094,23380"
128,700137,22.446364199999998,88.1598864,Kona Exp Way,Kona Exp Way,"Chinese,North Indian,Fast Food,Biryani,Bakery",2.83,"18571000,22552,18532709,18693915,18816858,21526,24984,22483,18128529"
96,700103,22.4453,88.4056,Narendra Pur,Narendra Pur,"Chinese,North Indian,Fast Food,Bakery,Bengali",3.38,"18162649,25634,24637,18735232,18603067,18403759,18604394,24648,19124953"
139,700153,22.4443,88.3858,Narendra Pur,Narendra Pur,"Chinese,North Indian,Fast Food,Bakery,Bengali",3.38,"18162649,25634,24637,18735232,18603067,18403759,18604394,24648,19124953"
97,700104,22.4288,88.288,Joka,Joka,"North Indian,Chinese,Fast Food,Biryani,Bakery",3.13,"23408,18240469,22424,18473784,18572855,25351,22216,18259657,22730"
140,700154,22.4268,88.3579,Garia,Garia,"Chinese,North Indian,Fast Food,Bengali,Bakery",4.12,"19164059,18748379,21967,18577170,23221,18662306,18513817,25094,23380"
134,700147,22.4059,88.4433,Sonarpur,Sonarpur,"Chinese,North Indian,Fast Food,Biryani,Bengali",1.26,"18584054,19157046,19322525,19316212,19188029,19308510,19248134,19312257,19312247"
137,700151,22.4003,88.3846,Narendra Pur,Narendra Pur,"Chinese,North Indian,Fast Food,Bakery,Bengali",3.38,"18162649,25634,24637,18735232,18603067,18403759,18604394,24648,19124953"
135,700149,22.3953465,88.4023243,Narendra Pur,Narendra Pur,"Chinese,North Indian,Fast Food,Bakery,Bengali",3.38,"18162649,25634,24637,18735232,18603067,18403759,18604394,24648,19124953"
133,700145,22.3784795,88.42636315,Narendra Pur,Narendra Pur,"Chinese,North Indian,Fast Food,Bakery,Bengali",3.38,"18162649,25634,24637,18735232,18603067,18403759,18604394,24648,19124953"
132,700144,22.37290805,88.4282414,Narendra Pur,Narendra Pur,"Chinese,North Indian,Fast Food,Bakery,Bengali",3.38,"18162649,25634,24637,18735232,18603067,18403759,18604394,24648,19124953"
