,name,id,address,zipcode,locality,latitude,longitude,cuisines,average_cost_for_two,highlights,aggregate_rating,number_of_reviews
249,Baboorchi Hotel & Restaurant,24637,"Sonarpur More, Shahabpara, Near Sonarpur Auto Stand, Sonarpur, Kolkata",,Sonarpur,22.4458242036,88.4018600732,"South Indian, Chinese",250,"Dinner,Cash,Takeaway Available,Lunch,Delivery,Indoor Seating,Air Conditioned",3.7,113
250,Kathi Junction,18623944,"Shop 6, AB 392, Ground Floor, Sumadhuri Apartment, Samarpally, Kestopur, Kolkata",700102,Kestopur,22.5919926041,88.4315752611,"Mughlai, North Indian, Chinese",500,"Dinner,Delivery,Lunch,Cash,Takeaway Available,Indoor Seating",3.7,415
251,Arsalan,18166923,"123, Jessore Road, Near Shelly Cinema Hall, Bangur, Kolkata",,Bangur,22.6123324520,88.4110067412,"Mughlai, North Indian, Rolls, Biryani",1000,"Dinner,Cash,Takeaway Available,Debit Card,Lunch,Delivery,Credit Card,Indoor Seating,Air Conditioned",4.0,1175
252,Byepass Dhaba,18162672,"1/A, Sector B, Metropolitan CHS, Beliaghata, Kolkata",700105,Beliaghata,22.5527883006,88.4062206745,"North Indian, Chinese",800,"Cash,Credit Card,Lunch,Dinner,Takeaway Available,Debit Card,Table booking recommended,Free Parking,Air Conditioned,Indoor Seating",4.0,1172
253,Haldiram's Prabhuji,22165,"P420, Kazi Nazrul Islam Avenue, V.I.P. Road, Kaikhali, Kolkata",0,Kaikhali,22.6279292609,88.4331597760,"Mishti, Street Food, South Indian, North Indian, Chinese, Fast Food, Desserts",300,"Dinner,Cash,Takeaway Available,Credit Card,Debit Card,Lunch,Delivery,Breakfast,Indoor Seating,Air Conditioned,Pure Veg,Desserts and Bakes",3.9,923
254,Chinese Cafe,25206,"Shop 156/85A, B.T. Road, Dunlop, Baranagar, Kolkata",,Baranagar,22.6522565138,88.3805935085,"North Indian, Chinese, Bengali",550,"Dinner,Cash,Takeaway Available,Debit Card,Lunch,Delivery,Credit Card,Indoor Seating,Air Conditioned",3.5,262
255,Ani's Kitchen,18693915,"Near Howrah Station Area, Ram Charan Seth Road, Ramrajatala, Kona Exp Way, Howrah, Kolkata",711104,Kona Exp Way,22.5880052541,88.3016490564,"North Indian, Mughlai, Chinese, Seafood, Beverages",800,"Dinner,Cash,Takeaway Available,Lunch,Delivery,Credit Card,Debit Card,Indoor Seating,Table booking recommended,Buffet,Free Wifi,Air Conditioned",3.9,111
256,The Chickenette,19248134,"11, KRC Sarani, Nowapara, Rajpur-Sonarpur, Sonarpur, Kolkata",,Sonarpur,22.4429795000,88.4284901000,"North Indian, Chinese, Fast Food",500,"Lunch,Cash,Takeaway Available,Dinner,Delivery",0,1
257,Chowman,23933,"BF 198, Sector 1, Salt Lake, Kolkata",,"Sector 1, Salt Lake",22.5950889814,88.4198496491,"Chinese, Asian, Seafood, Cantonese",1000,"Takeaway Available,Debit Card,Dinner,Cash,Credit Card,Lunch,Delivery,Indoor Seating,Air Conditioned",4.3,2146
258,Barbeque Nation,25570,"1st Floor, 24, Park Center Building, Park Street Area, Kolkata",,Park Street Area,22.5509298504,88.3536607772,"North Indian, Chinese, Kebab, BBQ",1800,"Dinner,Cash,Serves Alcohol,Lunch,Credit Card,Debit Card,Free Parking,Indoor Seating,Air Conditioned,Buffet,Table reservation required,Fullbar,Ticket Restaurant,Kid Friendly",4.6,2834
259,Aahar,19312257,"138, Aghor Sarani, Rajpur, Sonarpur, Kolkata",,Sonarpur,22.4374480000,88.4258040000,"North Indian, Chinese",300,"Dinner,Takeaway Available,Lunch,Cash,Indoor Seating,Digital Payments Accepted",0,1
260,Nastos,18749902,"Shop 65, 128, Hazra Road, Hazra, Kolkata",700026,Hazra,22.5237723195,88.3455802873,"Chinese, Momos, South Indian",500,"Dinner,Delivery,Lunch,Cash,Takeaway Available,Indoor Seating",4.0,195
261,Choc N Cheese,23085,"9/2, RBC Road, Mahendra Colony, Gora Bazar, Golpark, Dum Dum, Kolkata",700028,Dum Dum,22.6324641228,88.4155188873,"Chinese, North Indian, Seafood",500,"Delivery,Credit Card,Dinner,Cash,Takeaway Available,Debit Card,Indoor Seating,Digital Payments Accepted",3.6,170
262,Saezal,18549730,"153,Ground Floor, Rangoli Market, B.T Road, Kolkata, Baranagar, Kolkata",,Baranagar,22.6534746662,88.3774694055,"Fast Food, Chinese",350,"Lunch,Delivery,Credit Card,Dinner,Cash,Takeaway Available,Debit Card,Digital Payments Accepted",4.0,430
263,SBFC Food Funda,19138429,"T 58, Jugi Para Lane, Metiabruz, Kolkata",,Metiabruz,22.5447570000,88.2692860000,"Fast Food, Chinese, Cantonese",450,"Dinner,Cash,Takeaway Available,No Alcohol Available,Delivery,Indoor Seating,Digital Payments Accepted",0,0
264,Haka,20782,"164/1, 4th Floor, Mani Square Mall, EM Bypass, Kankurgachi, Kolkata",0,"Mani Square Mall, Kankurgachi",22.5778371593,88.4001568705,"Chinese, Beverages",700,"Lunch,Cash,Delivery,Credit Card,Dinner,Mall Parking,Takeaway Available,Debit Card,Fullbar,Air Conditioned,Indoor Seating,Wheelchair Accessible",4.3,2024
